"","USDA_code","func","plot","year","abund","is_veg","USDA_name","Weber_family","category","orig_cluster","class_3"
"84","2FORB","Forb","401",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"85","2FORB","Forb","58",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"86","2FORB","Forb","80",1989,2,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"87","2FORB","Forb","70",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"88","2FORB","Forb","25",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"89","2FORB","Forb","61",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"90","2FORB","Forb","66",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"91","2FORB","Forb","45",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"92","2FORB","Forb","45",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"93","2FORB","Forb","68",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"94","2FORB","Forb","56",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"95","2FORB","Forb","68",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"96","2FORB","Forb","25",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"97","2FORB","Forb","79",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"98","2FORB","Forb","29",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"99","2FORB","Forb","66",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"100","2FORB","Forb","66",1995,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"101","2FORB","Forb","57",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"102","2FORB","Forb","76",2006,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"103","2FORB","Forb","70",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"104","2FORB","Forb","101",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"105","2FORB","Forb","401",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"106","2FORB","Forb","19",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"107","2FORB","Forb","34",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"108","2FORB","Forb","501",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"109","2FORB","Forb","10",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"110","2FORB","Forb","78",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"111","2FORB","Forb","19",1997,2,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"112","2FORB","Forb","36",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"113","2FORB","Forb","57",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"114","2FORB","Forb","27",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"115","2FORB","Forb","601",1995,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"116","2FORB","Forb","40",1997,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"117","2FORB","Forb","29",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"118","2FORB","Forb","70",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"119","2FORB","Forb","78",2006,2,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"120","2FORB","Forb","56",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"121","2FORB","Forb","501",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"122","2FORB","Forb","29",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"123","2FORB","Forb","29",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"124","2FORB","Forb","401",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"125","2FORB","Forb","5",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"126","2FORB","Forb","10",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"127","2FORB","Forb","10",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"128","2FORB","Forb","34",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"129","2FORB","Forb","76",2008,5,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"130","2FORB","Forb","78",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"131","2FORB","Forb","19",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"132","2FORB","Forb","66",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"133","2FORB","Forb","25",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"134","2FORB","Forb","58",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"135","2FORB","Forb","19",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"136","2FORB","Forb","36",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"137","2FORB","Forb","34",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"138","2FORB","Forb","101",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"139","2FORB","Forb","78",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"140","2FORB","Forb","101",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"141","2FORB","Forb","79",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"142","2FORB","Forb","45",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"143","2FORB","Forb","29",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"144","2FORB","Forb","57",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"145","2FORB","Forb","80",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"146","2FORB","Forb","25",1989,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"147","2FORB","Forb","101",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"148","2FORB","Forb","10",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"149","2FORB","Forb","27",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"150","2FORB","Forb","5",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"151","2FORB","Forb","16",1989,2,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"152","2FORB","Forb","66",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"153","2FORB","Forb","51",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"154","2FORB","Forb","78",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"155","2FORB","Forb","51",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"156","2FORB","Forb","40",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"157","2FORB","Forb","66",2006,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"158","2FORB","Forb","10",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"159","2FORB","Forb","29",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"160","2FORB","Forb","27",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"161","2FORB","Forb","68",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"162","2FORB","Forb","34",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"163","2FORB","Forb","56",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"164","2FORB","Forb","20",1990,4,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"165","2FORB","Forb","34",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"166","2FORB","Forb","401",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"167","2FORB","Forb","57",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"168","2FORB","Forb","601",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"169","2FORB","Forb","51",1990,3,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"170","2FORB","Forb","51",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"171","2FORB","Forb","79",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"172","2FORB","Forb","57",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"173","2FORB","Forb","36",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"174","2FORB","Forb","5",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"175","2FORB","Forb","61",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"176","2FORB","Forb","66",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"177","2FORB","Forb","10",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"178","2FORB","Forb","401",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"179","2FORB","Forb","40",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"180","2FORB","Forb","501",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"181","2FORB","Forb","16",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"182","2FORB","Forb","61",2008,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"183","2FORB","Forb","80",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"184","2FORB","Forb","101",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"185","2FORB","Forb","78",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"186","2FORB","Forb","66",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"187","2FORB","Forb","80",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"188","2FORB","Forb","80",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"189","2FORB","Forb","56",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"190","2FORB","Forb","51",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"191","2FORB","Forb","70",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"192","2FORB","Forb","61",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"193","2FORB","Forb","101",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"194","2FORB","Forb","16",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"195","2FORB","Forb","601",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"196","2FORB","Forb","101",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"197","2FORB","Forb","70",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"198","2FORB","Forb","27",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"199","2FORB","Forb","80",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"200","2FORB","Forb","5",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"201","2FORB","Forb","51",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"202","2FORB","Forb","66",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"203","2FORB","Forb","70",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"204","2FORB","Forb","27",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"205","2FORB","Forb","34",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"206","2FORB","Forb","68",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"207","2FORB","Forb","16",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"208","2FORB","Forb","20",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"209","2FORB","Forb","58",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"210","2FORB","Forb","501",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"211","2FORB","Forb","40",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"212","2FORB","Forb","27",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"213","2FORB","Forb","5",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"214","2FORB","Forb","401",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"215","2FORB","Forb","58",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"216","2FORB","Forb","79",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"217","2FORB","Forb","19",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"218","2FORB","Forb","45",1989,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"219","2FORB","Forb","58",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"220","2FORB","Forb","51",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"221","2FORB","Forb","36",1995,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"222","2FORB","Forb","20",1989,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"223","2FORB","Forb","70",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"224","2FORB","Forb","45",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"225","2FORB","Forb","36",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"226","2FORB","Forb","5",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"227","2FORB","Forb","34",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"228","2FORB","Forb","58",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"229","2FORB","Forb","16",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"230","2FORB","Forb","56",2013,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"231","2FORB","Forb","19",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"232","2FORB","Forb","601",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"233","2FORB","Forb","40",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"234","2FORB","Forb","68",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"235","2FORB","Forb","25",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"236","2FORB","Forb","401",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
