dataset_id,l3_filename,google_id,L0_data_directory,LTER site,contact,responsible person,L3 status,provided identifier,doi,date accessed,date published,source_url_or_contact,body size,dispersal habit,mobility,trophic group,biome,organism_group,initial.year,study.length,n.years,n.plots,n.taxa,organism
cdr-plantsABC-compagnoni,L3-cdr-plantsABC-compagnoni.csv,1iJEhY82nu9PVw1yVVxjGr7-hO1DnqjQz,CDR-plants,CDR,Compagnoni,Aldo,complete,knb-lter-cdr.14.8,http://dx.doi.org/10.6073/pasta/93b27926879861815ebb021bfd6f14ae,6/7/2017,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cdr.527.5,macro,passive,sessile,primary producers,terrestrial,plants,1982,23,23,18,128,plantsABC
cdr-plantsD-compagnoni,L3-cdr-plantsD-compagnoni.csv,1OK4nBDmHiHgdNwQStwb8F_stVqqsERJm,CDR-plants,CDR,Compagnoni,Aldo,complete,knb-lter-cdr.14.8,http://dx.doi.org/10.6073/pasta/93b27926879861815ebb021bfd6f14ae,6/7/2017,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cdr.527.5,macro,passive,sessile,primary producers,terrestrial,plants,1982,23,23,5,128,plantsD
fce-diatoms-catano,L3-fce-diatoms-catano.csv,1twY-ZsfAkgQDzxXBhbn074O7lDks2KCT,FCE-diatoms-Gaiser-Marazzi,FCE,Marazzi,Rolando,in prep,knb-lter-fce.1211.3,https://doi.org/10.6073/pasta/cb0f7e88d28075a6ff1f59d008bb732c,06/02/2017,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-fce.1211.3,micro,passive,sessile,primary producers,freshwater,algae,2005,7,7,30,192,diatoms
and-plants-mtStHelens,L3-and-plants-mtStHelens.csv,18fEHgvT0mcHuiLY1H3h-bOl41wVEcL5S,AND-plants,AND,Mt St Helens,Aldo,complete,Ecology data paper,https://doi.org/10.1890/09-2357.1,NA,NA,http://esapubs.org/archive/ecol/E091/152/,macro,passive,sessile,primary producers,terrestrial,plants,1989,21,21,12,85,plants
luq-snails-compagnoni,L3-luq-snails-compagnoni.csv,11xfteAue9eXtZeCotUCazUMzXraWXiVt,LUQ-snails,LUQ,NA,Aldo,complete,knb-lter-luq.107.9996736,http://dx.doi.org/10.6073/pasta/ec88f3dd4ed8e172802b52ff3bb82aa8,NA,NA,NA,meso,active,mobile,consumers,terrestrial,invertebrates,1991,27,27,40,19,snails
cap-birds-banville,L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,CAP-birds-Banville,CAP,Banville/Andrade,Riley,complete,knb-lter-cap.46.15,http://dx.doi.org/10.6073/pasta/201add557165740926aab6e056db6988,"June 7, 2017",NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cap.46.13,macro,active,mobile,consumers,terrestrial,birds,2001,16,16,35,104,birds
jrn-plants-compagnoni,L3-jrn-plants-compagnoni.csv,1yuqNwBD6TVkdo9UzZeJtHxJjPzHrVVyx,JRN-677plantDensity-popler,JRN,popler-Chapline,Aldo,"in prep, maybe subset groups, could be fenced",knb-lter-jrn.210351002.75,http://dx.doi.org/10.6073/pasta/75f27f49b1ea89de027d69c8697658b9,5/15/2018,2013,http://jornada.nmsu.edu/content/jornada-experimental-range-permanent-quadrat-chart-data-beginning-1915-plant-density,macro,passive,sessile,primary producers,terrestrial,plants,1915,24,18,10,113,plants
cdr-grasshopper-compagnoni,L3-cdr-grasshopper-compagnoni.csv,1UzmNyjqOCNrRpagCCLXsHMlSlyM1WJN_,CDR-grasshoppers,CDR,NA,Aldo,complete,knb-lter-luq.107.9996736,http://dx.doi.org/10.6073/pasta/239b3023d75d83e795a15b36fac702e2,NA,NA,NA,meso,active,mobile,consumers,terrestrial,invertebrates,1989,18,18,19,51,grasshopper
ntl-fish-stanleyLottig,L3-ntl-fish-stanleyLottig.csv,0B2P104M94skvOVBOZnIyUGQ1ZVU,NTL_Fish,NTL,Stanley,Nina,complete,knb-lter-ntl.7.24,http://dx.doi.org/10.6073/pasta/7ed3313d08fbfc92656262b977508340,04/25/2018,NA,NA,macro,active,mobile,consumers,freshwater,fish,1981,37,37,5,58,fish
bes-birds-nilon,L3-bes-birds-nilon.csv,1ozkicOn1NPNcpe-s_-6WK8YtgqqmmTQV,BES-birds-Nilon,BES,NA,Shawn,complete,knb-lter-bes.543.170,http://dx.doi.org/10.6073/pasta/c790bd0b1bdde870b5b1e7f631d3d38e,"April 20, 2018",NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-bes.543.170,macro,active,mobile,consumers,terrestrial,birds,2005,5,5,52,33,birds
sgs-plants-catano,L3-sgs-plants-catano.csv,1osf8W0yTs4gYjGBvbgnz92p2vZ5G08lm,SGS-plants,SGS,popler-Stapp,Eric,complete,knb-lter-sgs.140.17,https://doi.org/10.6073/pasta/f6ecfd9d99c9cc83e47469d10b620cfb,NA,2013,http://hdl.handle.net/10217/83458,macro,passive,sessile,primary producers,terrestrial,plants,1999,8,8,6,84,plants
knz-grasshopper-compagnoni,L3-knz-grasshopper-compagnoni.csv,1FliDv4JFu732-2VLlfR4f3FIZPGcZrI5,KNZ-grasshoppers,KNZ,NA,Aldo,complete,knb-lter-knz.29.12,http://dx.doi.org/10.6073/pasta/aec67f5d71d14cd39fe8b6b34b4719f4,11/7/2018,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-knz.29.12,meso,active,mobile,consumers,terrestrial,invertebrates,1996,20,19,13,43,grasshopper
fce-fish-rehageWet,L3-fce-fish-rehageWet.csv,19aoF1lPfeqh3kLFZkgTMqXp_DU025vJu,FCE-fish-Rehage,FCE,Rehage,Rolando,complete,knb-lter-fce.1164.6,https://doi.org/10.6073/pasta/4cc7a504b072f661f9b82c7c4536bd30,NA,NA,from contact - Jesse; knb data protected,macro,active,mobile,consumers,brackish,fish,2011,6,6,14,56,fish
fce-fish-rehageDry,L3-fce-fish-rehageDry.csv,19_8JhIAxcaBw69OShxlkDfF3i0Ml97GJ,FCE-fish-Rehage,FCE,Rehage,Rolando,complete,knb-lter-fce.1164.6,https://doi.org/10.6073/pasta/4cc7a504b072f661f9b82c7c4536bd30,NA,NA,from contact - Jesse; knb data protected,macro,active,mobile,consumers,brackish,fish,2006,12,11,10,56,fish
and-birds-wisnoski,L3-and-birds-wisnoski.csv,13yR9S2y3VS0uevQ0VRvNziy-hbkI8E0n,AND-birds,AND,Betts,Nathan,complete,knb-lter-and.4781.2,https://doi.org/10.6073/pasta/b75f34d8de6fcfa59c882bb1acf96226,NA,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-and.4781.2,macro,active,mobile,consumers,terrestrial,birds,2009,5,5,184,81,birds
cap-herps-banville,L3-cap-herps-banville.csv,19Gu7nuSiUmIKUyP2qz0x9MBKMmOJxbFV,CAP-herps-Banville,CAP,Banville/Andrade,Riley,complete,knb-lter-cap.627.3,http://dx.doi.org/10.6073/pasta/2999764ec0527e78d44cc9ea9fc14bf0,"June 7, 2017",NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cap.627.2,macro,active,mobile,consumers,terrestrial,herps,2013,5,5,7,18,herps
mcr-fish-castorani,L3-mcr-fish-castorani.csv,0BxUZSA1Gn1HZV3BuelZVN1NRUnc,MCR-fish,MCR,Castorani,Max,in prep - Nina,knb-lter-mcr.6.54,http://dx.doi.org/10.6073/pasta/d688610e536f54885a3c59d287f6c4c3,6/8/2017,5/9/2016,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-mcr.6.54,macro,active,mobile,consumers,marine,fish,2006,10,10,6,376,fish
mcr-inverts-castorani,L3-mcr-inverts-castorani.csv,0BxUZSA1Gn1HZTnYzZVdwM3hyN2M,MCR-inverts,MCR,Castorani,Max,in prep - Nina,knb-lter-mcr.7.28,http://dx.doi.org/10.6073/pasta/8e7b3a0c7a8bf315739921861cc79d10,6/8/2017,3/30/2015,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-mcr.7.28,macro,active,mobile,consumers,marine,invertebrates,2005,11,11,6,13,inverts
mcr-algae-castorani,L3-mcr-algae-castorani.csv,0BxUZSA1Gn1HZenhxaVJ6bWtVdDg,MCR-algae,MCR,Castorani,Max,in prep - Nina,knb-lter-mcr.8.28,http://dx.doi.org/10.6073/pasta/79a6edbcf3aa2380d43deed778856416,6/8/2017,10/23/2015,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-mcr.8.28,macro,passive,sessile,primary producers,marine,algae,2006,10,10,6,73,algae
mcr-coral-castorani,L3-mcr-coral-castorani.csv,0BxUZSA1Gn1HZZGR2VjdMbmU3Mm8,MCR-coral,MCR,Castorani,Max,in prep - Nina,knb-lter-mcr.4.33,http://dx.doi.org/10.6073/pasta/1f05f1f52a2759dc096da9c24e88b1e8,6/8/2017,12/9/2015,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-mcr.4.33,macro,passive,sessile,consumers,marine,coral,2005,11,11,6,31,coral
ntl-zooplankton-stanleyLottig,L3-ntl-zooplankton-stanleyLottig.csv,0B2P104M94skvcUl6eGhhSDhtaDA,NTL-Trout-Lake-zooplankton,NTL,Stanley,Nina,let's talk,knb-lter-ntl.37.14,http://dx.doi.org/10.6073/pasta/c866e3663bae76388f63233a5fdfb3d4,6/8/2017,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-ntl.37.14,micro,active,mobile,consumers,freshwater,zooplankton,1982,34,34,7,143,zooplankton
usvi-coral-castorani,L3-usvi-coral-castorani.csv,0BxUZSA1Gn1HZZGowdUVCTTdtXzg,CSUN-USVI-coral,USVI,Castorani,Max,complete,knb-csun-usvi.101.4,https://doi.org/10.6073/pasta/8cd311eae47675f714717fe78c737634,5/8/2017,1/23/2019,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.291.1,macro,passive,sessile,primary producers,marine,coral,1992,24,24,6,34,coral
